Tip_phy,Infraclass,type,Diet3,Lingual,Omnivorous,Carnivorous,Folivorousbrowser,Mixed_feeder,Tuberivorous,Grazer,Frugivorous,Insectivorous
Metachirus_nudicaudatus,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Marmosa_demerarae,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Microcebus_murinus,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Moropus_elatus,Eutheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Murexia_longicaudata,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Myoictis_melas,Metatheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Myospalax_psilurus,Eutheria,Extant,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Myrmecobius_fasciatus,Metatheria,Extant,Lingual_feeding,Lingual_feeding,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Neofelis_nebulosa,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Neophascogale_lorentzii,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Notoryctes_typhlops,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Ochotona_pallasi,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Onychogalea_unguifera,Metatheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Otocyon_megalotis,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Paleosyops_leidyi,Eutheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Perameles_bougainville,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Peroryctes_raffrayana,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Petauroides_volans,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Petaurus_breviceps,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Petrogale_penicillata,Metatheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Petropseudes_dahli,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Spilocuscus_maculatus,Metatheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Phascogale_calura,Metatheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Phascolosorex_doriae,Metatheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Philander_opossum,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Pongo_pygmaeus,Eutheria,Extant,Frugivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Frugivorous,nostate
Potamogale_velox,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Potorous_tridactylus,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Procavia_capensis,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Procyon_lotor,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Protypotherium_praerutilum,Eutheria,Fossil,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Pseudaelurus_validus,Eutheria,Fossil,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Pseudochirops_albertisii,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Pseudochirulus_forbesi,Metatheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Pterodon_dasyuroides,Eutheria,Fossil,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Puma_concolor,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Ratufa_affinis,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Rhizomys_sumatrensis,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Rhynchogale_melleri,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Echymipera_clara,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Saiga_tatarica,Eutheria,Extant,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Smilodon_fatalis,Eutheria,Fossil,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Solenodon_paradoxus,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Sorex_monticolus,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Stegotherium_tesselatum,Eutheria,Fossil,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Suricata_suricatta,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Tachyoryctes_splendens,Eutheria,Extant,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Tamandua_tetradactyla,Eutheria,Extant,Lingual_feeding,Lingual_feeding,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Tapirus_terrestris,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Tarsipes_rostratus,Metatheria,Extant,Lingual_feeding,Lingual_feeding,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Tayassu_pecari,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Teleoceras_medicornutus,Eutheria,Fossil,Grazer,nostate,nostate,nostate,nostate,nostate,nostate,Grazer,nostate,nostate
Thylacinus_cynocephalus,Metatheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Thylacosmilus_sp,Metatheria,Fossil,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Thylogale_stigmatica,Metatheria,Extant,Grazer,nostate,nostate,nostate,Folivorous,nostate,nostate,Grazer,nostate,nostate
Tlacuatzin_canescens,Metatheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Tolypeutes_tricinctus,Eutheria,Extant,Insectivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate,nostate,Insectivorous
Tragelaphus_scriptus,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Tragulus_kanchil,Eutheria,Extant,Browser,nostate,nostate,nostate,Folivorous,nostate,nostate,nostate,nostate,nostate
Trogosus_granderi,Eutheria,Fossil,Tuberivorous,nostate,nostate,nostate,nostate,nostate,Tuberivorous,nostate,nostate,nostate
Viverra_tangalunga,Eutheria,Extant,Omnivorous,nostate,Omnivorous,nostate,nostate,nostate,nostate,nostate,nostate,nostate
Zalophus_californianus,Eutheria,Extant,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
Zodiolestes_daimonelixensis,Eutheria,Fossil,Carnivorous,nostate,nostate,Carnivorous,nostate,nostate,nostate,nostate,nostate,nostate
